Company Name,Website URL,Email,Phone Number,Location
Name Phone Email Website Address Source,,,,
Agin Properties & Investment Foursquare,http://aginproperties.com,,(212) 925-9060,"325 Lafayette St, New York, NY 10012"
A & R Kalimian Realty Foursquare,,,(212) 768-2188,"150 W 47th St, New York, NY 10036"
Mastromonaco Joe Dartmouth Co New York Foursquare,https://www.dartco.com,,(212) 687-2400,"270 Lafayette St, New York, NY 10012"
Levien & Company Foursquare,https://www.levienco.com,,(212) 702-8835,"570 Lexington Ave, New York, NY 10022"
Luis D Ortiz Foursquare,http://luisortiz.elliman.com,,(212) 705-1069,"485 Madison Ave, New York, NY 10022"
2001 Real Estate Foursquare,http://www.2001realestate.com,,(212) 581-2001,"150 W 56th St, New York, NY 10019"
Edina Realty Foursquare,http://www.edinarealty.com,,(952) 938-1900,"55 N Moore St, New York, NY 10013"
Brookfield Foursquare,http://bfplny.com,,(646) 351-6216,"250 Vesey St, New York, NY 10281"
Aberdeen Realty Holdings Foursquare,http://arh-ltd.com,,(212) 537-4796,"165 Christopher St, New York, NY 10014"
Horen Fred Health Care Executives Club E 91st St New York NY 10128 Foursquare,"http://www.healthcareexecutivesclub.com/index.html,""407",,(718) 252-9829,
Thibault Adrien Brandywine Realty USA New York Foursquare,http://howardhanna.com,,,"853 Broadway, New York, NY 10003"
Francois Jennifer AGT Keller Williams Foursquare,http://www.francoisj.net,,(646) 267-6403,"434 W 163rd St, New York, NY 10032"
Accord Realty Services Foursquare,http://www.accordrlty.com,,(212) 278-0660,"500 5th Ave, New York, NY 10110"
Remi Sells Discounted Properties New York Broadway New York NY 10040 Foursquare,"https://www.remisellsdiscountedproperties.com/contact-us,""4558",,(646) 770-1482,
Laurence Kaiser Foursquare,http://www.keyventuresinc.com,,(212) 439-1610,"575 Madison Ave, New York, NY 10022"
550 Park Av Foursquare,,,(212) 838-6209,"550 Park Ave, New York, NY 10065"
Douglas Elliman Foursquare,http://www.elliman.com,,(212) 362-9600,"1995 Broadway, New York, NY 10023"
Croke Ann Related Rentals Foursquare,http://www.related.com,,(212) 786-3039,"225 Rector Pl, New York, NY 10280"
Vertex Realty Group Foursquare,http://www.vertexrealtygroup.com,,(212) 868-2000,"34 W 33rd St, New York, NY 10001"
E 74 Street Owners Foursquare,http://340e74thstreet.com,,(212) 472-3116,"340 E 74th St, New York, NY 10021"
Waylon Jacques Compass Foursquare,https://www.compass.com,,(917) 732-3747,"26 Astor Pl, New York, NY 10003"
Proplink Foursquare,http://www.linksprop.com,,(212) 219-3828,"157 Bowery, New York, NY 10002"
DJK 101 5th Ave East 18th street New York NY 10003 Foursquare,http://www.djkresidential.com,,(212) 367-0476,
Eduard Zaytsev Real Estate Consultant Foursquare,http://www.camelot.nyc,,(646) 472-6790,"3 W 30th St, New York, NY 10001"
Yoreevo Foursquare,http://www.yoreevo.com,,(212) 365-0151,"154 W 14th St, New York, NY 10011"
My New York Broker Madison Ave New York NY 10016 Foursquare,"http://www.homeresidential.nyc/?page=agents&id=17,""185",,(646) 320-9024,
Serhant Foursquare,https://serhant.com,,(646) 480-7665,"372 W Broadway, New York, NY 10012"
Michael E Smith Compass Real Estate E 53rd St New York NY 10022 Foursquare,"https://www.compass.com/agents/nyc/michael-smith,""10",,(646) 461-6633,
Fenwick Keats Headquarters 419 Park Ave S 29th New York NY 10016 Foursquare,http://www.fenwickkeats.com,,(212) 787-0707,
Compass Group  Foursquare,,,,
Sutton Investments 291 Broadway Reade New York NY 10007 Foursquare,,,(212) 354-3600,
Vincent SheehanCommercial Real Estate Foursquare,http://pagescript.com,,(212) 271-2273,"37 W 28th St, New York, NY 10001"
77 Charlton Foursquare,https://www.77charlton.com,,(212) 981-8580,"77 Charlton St, New York, NY 10014"
MNS Real Impact Real Estate  Foursquare,http://www.mns.com,,(212) 475-9000,
Oren Rosen Hecht Group Foursquare,,,(347) 526-6359,"136 E 57th St, New York, NY 10022"
Singer & Bassuk Foursquare,http://singerbassuk.com,andrewrosen@singerbassuk.com,(212) 371-2277,"767 3rd Ave, New York, NY 10017"
Rsny Realty Foursquare,http://www.rsnyrealty.com,chandru@rsnyrealty.com,(212) 696-5269,"445 5th Ave, New York, NY 10016"
Lakewood Holdings Foursquare,http://lakewoodholdingsltd.com,dave@lakewoodholdingsltd.com,(212) 851-3760,"234 E 106th St, New York, NY 10029"
Elo Equity Foursquare,http://www.yamahamusicsoft.com,gq@yamahamusicsoft.com,(212) 819-0038,"151 W 46th St, New York, NY 10036"
Hines Interest Foursquare,http://hines.com,headquarters@hines.com,(646) 472-7500,"1585 Broadway, New York, NY 10036"
Dwellworks Destination Services Foursquare,https://www.dwellworks.com,info@dwellworks.com,(212) 768-7272,"381 Park Ave S, New York, NY 10016"
NestApple 444 W 19th St bet 9th and 10th avenue New York NY 10011 Foursquare,http://www.nestapple.com,info@nestapple.com,(855) 637-8277,
Wells Hill Partners Foursquare,http://www.wellshill.com,mizukovski@wellshill.com,(212) 262-1500,"720 5th Ave, New York, NY 10019"
Century 21 Select Real Estate Foursquare,http://century21selectrealestateinc.com,sales@century21selectrealestateinc.com,(855) 238-8899,"245 Park Ave, New York, NY 10167"
SLC Realtyny Foursquare,http://www.slcrealtyny.com,sally@slcrealtyny.com,(718) 730-4754,"90 Thompson St, New York, NY 10012"
Susan B Anthony Foursquare,http://www.susanbanthonyrealestate.com,sbargg@aol.com,(212) 941-6266,"456 Broome St, New York, NY 10013"
Linecity Foursquare,https://www.linecity.com,support@linecity.com,(212) 571-4112,"222 Broadway, New York, NY 10038"
